200;rozmiar
step
46;55
121;167
150;35
172;134
176;1
137;69
145;198
173;90
36;48
42;24
139;174
175;168
123;107
146;168
106;112
177;27
45;50
160;69
193;31
177;132
138;2
44;119
166;49
45;118
27;27
140;81
74;161
25;193
126;65
177;70
57;109
159;169
114;75
82;115
183;42
121;73
15;144
56;121
181;93
9;162
60;62
24;71
64;7
155;53
71;148
146;185
164;53
178;36
192;38
32;176
157;84
178;8
78;183
45;192
11;63
93;31
188;183
18;143
162;197
153;157
17;143
71;149
140;81
146;184
145;184
105;112
165;53
162;197
44;50
31;176
145;184
44;192
71;149
8;162
105;111
45;192
178;35
177;70
27;27
164;53
161;69
164;52
145;184
145;184
145;185
24;193
184;42
74;161
183;42
154;53
177;35
17;143
12;63
145;168
24;193
138;1
164;51
15;144
28;27
184;42
step
46;55
121;167
150;34
172;134
177;1
137;69
145;197
173;90
35;48
42;24
140;174
175;169
123;107
145;168
105;111
176;27
44;51
161;69
192;31
177;132
138;0
44;119
166;50
46;118
28;27
139;81
74;161
25;193
126;65
177;69
56;109
159;169
114;75
81;115
183;42
120;73
15;143
56;121
181;93
7;162
59;62
23;71
64;7
153;53
70;149
145;184
164;51
177;35
191;38
31;176
157;84
178;7
78;183
45;191
12;62
93;31
189;183
17;143
161;197
153;156
18;143
71;149
139;82
145;183
144;183
105;112
165;51
161;197
44;51
31;175
144;183
45;191
70;149
6;162
105;111
45;191
177;36
178;69
28;27
165;51
160;69
165;50
143;183
143;184
144;184
25;193
183;42
73;161
182;42
152;53
177;36
17;143
12;61
145;167
25;192
139;0
165;50
15;143
29;27
182;42
step
46;55
121;167
149;34
171;134
177;1
136;69
145;196
173;89
35;47
42;24
139;174
175;168
123;107
145;167
106;111
175;27
45;51
160;68
192;31
177;132
138;0
44;119
166;50
46;118
29;27
139;82
73;161
25;192
125;65
178;69
56;109
160;169
115;75
81;114
181;42
119;73
14;143
57;121
181;93
6;162
59;61
23;70
63;7
153;53
70;148
145;184
164;50
177;36
190;38
31;175
157;83
178;7
77;183
44;191
12;60
93;32
190;183
17;143
161;197
154;156
18;143
70;147
138;82
146;184
146;183
106;111
164;49
162;197
46;51
31;175
146;182
44;191
69;147
5;162
106;111
44;191
177;35
178;69
29;27
164;49
160;67
164;48
146;181
146;181
145;181
25;191
180;42
73;161
180;42
153;53
177;35
17;143
13;60
145;168
25;190
139;0
164;47
14;143
29;26
180;43
step
45;55
121;168
149;33
171;134
177;1
136;68
144;196
174;89
34;47
42;23
138;174
174;168
123;108
145;169
106;111
174;27
46;50
159;67
192;30
176;132
139;1
43;119
166;50
46;118
29;25
138;82
73;160
24;190
124;65
178;69
55;109
160;169
115;75
81;114
180;44
118;73
13;143
56;121
181;92
5;162
59;61
22;70
62;7
153;52
69;147
145;180
164;47
177;34
191;38
31;175
157;83
177;7
76;183
44;190
12;60
94;32
190;184
17;142
162;197
154;155
17;142
69;147
138;82
145;180
145;179
106;111
164;47
162;197
46;50
31;175
144;179
43;190
69;146
5;162
106;111
43;189
177;33
177;69
30;25
164;47
159;67
163;47
145;179
145;179
144;179
24;191
179;44
73;160
179;44
153;52
178;33
16;142
11;60
145;169
24;191
139;1
163;46
13;143
29;25
179;44
step
46;55
122;168
149;33
171;134
176;1
135;68
145;196
174;88
35;47
42;22
137;174
174;168
123;108
145;168
106;111
174;26
46;49
158;67
193;30
176;132
139;0
43;118
166;50
46;117
28;25
138;82
72;160
24;192
124;64
176;69
56;109
160;169
115;75
80;114
179;43
117;73
12;143
56;121
180;92
6;162
58;61
22;69
62;6
152;52
69;146
144;178
163;45
178;33
190;38
31;175
156;83
176;7
76;183
43;189
11;60
95;32
190;184
16;142
162;196
153;155
17;142
68;146
137;82
144;178
144;177
106;110
163;45
162;195
46;49
32;175
144;176
42;189
67;146
6;162
106;109
41;189
178;33
175;69
28;25
163;45
157;67
163;46
143;176
143;176
143;176
24;193
179;43
72;160
179;43
152;51
177;33
17;141
11;59
145;168
24;193
139;1
163;45
12;142
28;25
179;43
step
45;55
122;168
148;33
172;134
177;1
134;68
144;196
174;88
36;47
41;22
137;173
173;168
124;108
145;167
105;109
174;26
46;48
157;67
193;30
177;132
139;1
43;117
166;50
46;116
28;24
137;82
71;160
24;192
123;64
174;69
55;109
160;168
114;75
80;114
179;43
117;74
12;142
57;121
179;92
6;162
57;61
22;69
62;5
152;50
67;146
142;176
163;44
178;33
190;38
32;175
157;83
177;7
76;183
40;189
10;59
95;31
189;184
17;141
162;195
153;155
16;141
67;147
137;81
142;177
141;177
105;109
163;45
163;195
46;48
32;174
140;177
39;189
66;147
6;163
105;109
39;190
178;33
175;69
28;24
163;45
157;67
164;45
141;177
140;177
140;177
23;192
178;43
70;160
179;43
151;50
178;33
16;140
9;59
145;167
22;192
139;1
164;44
12;141
27;24
179;42
step
45;54
121;168
147;33
172;133
177;1
133;68
143;196
174;89
35;47
41;22
136;173
173;168
123;108
145;167
106;109
175;26
47;48
158;67
193;29
177;132
139;1
42;117
166;50
46;116
28;24
137;81
70;159
22;191
123;64
175;68
54;109
159;168
114;75
80;113
178;42
116;74
11;141
57;120
179;92
7;163
57;60
22;68
62;5
151;50
65;147
140;176
164;45
177;33
189;38
32;174
157;83
176;7
76;183
38;190
9;58
94;31
189;184
15;140
163;194
153;155
15;139
